id,ids,name,syn
DOID:1816,"[""""""NCI:C3088"""""",""""""DOID:1816"""""",""""""SNOMEDCT_US_2018_03_01:33176006"""""",""""""MESH:D006394"""""",""""""UMLS_CUI:C0018923"""""",""""""UMLS_CUI:C0854893"""""",""""""SNOMEDCT_US_2018_03_01:39000009"""""",""""""NCI:C9275""""""]",angiosarcoma,"[""""""hemangiosarcoma"""""",""""""angiosarcoma""""""]"
DOID:2116,"[""""""DOID:2116"""""",""""""UMLS_CUI:C0033999"""""",""""""MESH:D011625""""""]",pterygium,"[""""""pterygium"""""",""""""surfer's eye""""""]"
DOID:14667,"[""""""DOID:14667"""""",""""""ICD9CM:277.9"""""",""""""SNOMEDCT_US_2018_03_01:75934005"""""",""""""NCI:C3235"""""",""""""SNOMEDCT_US_2018_03_01:30390004"""""",""""""MESH:D008659"""""",""""""UMLS_CUI:C0025517"""""",""""""ICD10CM:E88.9""""""]",disease of metabolism,"[""""""metabolic disease"""""",""""""disease of metabolism""""""]"
DOID:40001,"[""""""DOID:40001""""""]",shrimp allergy,"[""""""shrimp allergy""""""]"
DOID:40002,"[""""""UMLS_CUI:C0004058"""""",""""""DOID:40002""""""]",aspirin allergy,"[""""""acetylsalicylic acid allergy"""""",""""""ASA allergy"""""",""""""aspirin allergy""""""]"
DOID:40003,"[""""""UMLS_CUI:C0571411"""""",""""""DOID:40003""""""]",benzylpenicillin allergy,"[""""""benzyl benicillin allergy"""""",""""""benzylpenicillin allergy"""""",""""""penicillin G allergy""""""]"
DOID:40004,"[""""""UMLS_CUI:C0571417"""""",""""""DOID:40004""""""]",amoxicillin allergy,"[""""""amoxicillin allergy""""""]"
DOID:40005,"[""""""UMLS_CUI:C0571463"""""",""""""DOID:40005""""""]",ceftriaxone allergy,"[""""""rocephin allergy"""""",""""""ceftriaxone allergy""""""]"
DOID:40006,"[""""""UMLS_CUI:C0570787"""""",""""""DOID:40006""""""]",carbamazepine allergy,"[""""""carbamazepine allergy"""""",""""""carbamazepen allergy"""""",""""""Tegretol allergy""""""]"
DOID:40007,"[""""""DOID:40007""""""]",abacavir allergy,"[""""""abacavir allergy"""""",""""""ABC allergy""""""]"
DOID:40008,"[""""""ICD10CM:Z88.1"""""",""""""DOID:40008""""""]",isoniazide allergy,"[""""""INH allergy"""""",""""""isonicotinylhydrazide allergy"""""",""""""isoniazide allergy""""""]"
DOID:40009,"[""""""UMLS_CUI:C0570646"""""",""""""DOID:40009""""""]",lidocaine allergy,"[""""""Lidoderm allergy"""""",""""""lignocaine allergy"""""",""""""xylocaine allergy"""""",""""""lidocaine allergy""""""]"
DOID:40010,"[""""""ICD10CM:Z88.4"""""",""""""DOID:40010""""""]",mepivacaine allergy,"[""""""mepivacaine allergy"""""",""""""Polocaine allergy"""""",""""""Carbocaine allergy""""""]"
