id,ids,name,syn
ICD10:A00,"[""""""ICD10:A00""""""]",Cholera,['''Cholera''']
ICD10:A00.0,"[""""""ICD10:A00.0""""""]","Cholera due to Vibrio cholerae 01, biovar cholerae","['''Classical cholera''','''Cholera due to Vibrio cholerae 01, biovar cholerae''']"
ICD10:A00.1,"[""""""ICD10:A00.1""""""]","Cholera due to Vibrio cholerae 01, biovar eltor","['''Cholera due to Vibrio cholerae 01, biovar eltor''','''Cholera eltor''']"
ICD10:A00.9,"[""""""ICD10:A00.9""""""]","Cholera, unspecified","['''Cholera, unspecified''']"
ICD10:A01,"[""""""ICD10:A01""""""]",Typhoid and paratyphoid fevers,['''Typhoid and paratyphoid fevers''']
ICD10:A01.0,"[""""""ICD10:A01.0""""""]",Typhoid fever,"['''Typhoid fever''','''Infection due to Salmonella typhi''']"
ICD10:A01.1,"[""""""ICD10:A01.1""""""]",Paratyphoid fever A,['''Paratyphoid fever A''']
ICD10:A01.2,"[""""""ICD10:A01.2""""""]",Paratyphoid fever B,['''Paratyphoid fever B''']
ICD10:A01.3,"[""""""ICD10:A01.3""""""]",Paratyphoid fever C,['''Paratyphoid fever C''']
ICD10:A01.4,"[""""""ICD10:A01.4""""""]","Paratyphoid fever, unspecified","['''Paratyphoid fever, unspecified''','''Infection due to Salmonella paratyphi NOS''']"
ICD10:A02,"[""""""ICD10:A02""""""]",Other salmonella infections,"['''infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi''','''Other salmonella infections''']"
ICD10:A02.0,"[""""""ICD10:A02.0""""""]",Salmonella enteritis,"['''Salmonella enteritis''','''Salmonellosis''']"
ICD10:A02.1,"[""""""ICD10:A02.1""""""]",Salmonella sepsis,['''Salmonella sepsis''']
ICD10:A02.2,"[""""""ICD10:A02.2""""""]",Localized salmonella infections,"['''Salmonella: arthritisM01.3''','''Salmonella: meningitisG01''','''Salmonella: renal tubulo-interstitial diseaseN16.0''','''Salmonella: osteomyelitisM90.2''','''Salmonella: pneumoniaJ17.0''','''Localized salmonella infections''']"
ICD10:A02.8,"[""""""ICD10:A02.8""""""]",Other specified salmonella infections,['''Other specified salmonella infections''']
ICD10:A02.9,"[""""""ICD10:A02.9""""""]","Salmonella infection, unspecified","['''Salmonella infection, unspecified''']"
ICD10:A03,"[""""""ICD10:A03""""""]",Shigellosis,['''Shigellosis''']
ICD10:A03.0,"[""""""ICD10:A03.0""""""]",Shigellosis due to Shigella dysenteriae,"['''Group A shigellosis [Shiga-Kruse dysentery]''','''Shigellosis due to Shigella dysenteriae''']"
ICD10:A03.1,"[""""""ICD10:A03.1""""""]",Shigellosis due to Shigella flexneri,"['''Shigellosis due to Shigella flexneri''','''Group B shigellosis''']"
ICD10:A03.2,"[""""""ICD10:A03.2""""""]",Shigellosis due to Shigella boydii,"['''Group C shigellosis''','''Shigellosis due to Shigella boydii''']"
ICD10:A03.3,"[""""""ICD10:A03.3""""""]",Shigellosis due to Shigella sonnei,"['''Shigellosis due to Shigella sonnei''','''Group D shigellosis''']"
ICD10:A03.8,"[""""""ICD10:A03.8""""""]",Other shigellosis,['''Other shigellosis''']
ICD10:A03.9,"[""""""ICD10:A03.9""""""]","Shigellosis, unspecified","['''Bacillary dysentery NOS''','''Shigellosis, unspecified''']"
ICD10:A04,"[""""""ICD10:A04""""""]",Other bacterial intestinal infections,"['''foodborne intoxications elsewhere classified''','''tuberculous enteritisA18.3''','''Other bacterial intestinal infections''']"
ICD10:A04.0,"[""""""ICD10:A04.0""""""]",Enteropathogenic Escherichia coli infection,['''Enteropathogenic Escherichia coli infection''']
ICD10:A04.1,"[""""""ICD10:A04.1""""""]",Enterotoxigenic Escherichia coli infection,['''Enterotoxigenic Escherichia coli infection''']
ICD10:A04.2,"[""""""ICD10:A04.2""""""]",Enteroinvasive Escherichia coli infection,['''Enteroinvasive Escherichia coli infection''']
ICD10:A04.3,"[""""""ICD10:A04.3""""""]",Enterohaemorrhagic Escherichia coli infection,['''Enterohaemorrhagic Escherichia coli infection''']
ICD10:A04.4,"[""""""ICD10:A04.4""""""]",Other intestinal Escherichia coli infections,"['''Other intestinal Escherichia coli infections''','''Escherichia coli enteritis NOS''']"
ICD10:A04.5,"[""""""ICD10:A04.5""""""]",Campylobacter enteritis,['''Campylobacter enteritis''']
ICD10:A04.6,"[""""""ICD10:A04.6""""""]",Enteritis due to Yersinia enterocolitica,"['''extraintestinal yersiniosisA28.2''','''Enteritis due to Yersinia enterocolitica''']"
ICD10:A04.7,"[""""""ICD10:A04.7""""""]",Enterocolitis due to Clostridium difficile,"['''Pseudomembranous colitis''','''Enterocolitis due to Clostridium difficile''','''Foodborne intoxication by Clostridium difficile''']"
ICD10:A04.8,"[""""""ICD10:A04.8""""""]",Other specified bacterial intestinal infections,['''Other specified bacterial intestinal infections''']
ICD10:A04.9,"[""""""ICD10:A04.9""""""]","Bacterial intestinal infection, unspecified","['''Bacterial intestinal infection, unspecified''','''Bacterial enteritis NOS''']"
ICD10:A05,"[""""""ICD10:A05""""""]","Other bacterial foodborne intoxications, not elsewhere classified","['''toxic effect of noxious foodstuffsT61-T62''','''Escherichia coli infectionA04.0-A04.4''','''Clostridium difficile foodborne intoxication and infectionA04.7''','''Other bacterial foodborne intoxications, not elsewhere classified''','''salmonella foodborne intoxication and infectionA02.-''','''listeriosisA32.-''']"
ICD10:A05.0,"[""""""ICD10:A05.0""""""]",Foodborne staphylococcal intoxication,['''Foodborne staphylococcal intoxication''']
