List,Syns
[1],"[['Elephantiasis'], ['podoconiosis'], ['elephantiasis', 'Elephantiasis']]"
"[7, 3]","[['Chronic adenoiditis'], ['adenoiditis', 'chronic adenoiditis'], ['Serine Endopeptidases'], ['Spastic tetraplegia'], ['Chronic pericementitis'], ['spastic ectropion'], ['Periodontitis, Adult', 'Periodontitis, Chronic', 'Adult Periodontitis', 'Chronic Periodontitis'], ['Textbooks as Topic'], ['Chronic periodontitis NOS']]"
"[1, 0]","[['obsolete complex genetic disease'], ['Hypophosphatemia, familial', 'obsolete familial hypophosphatemia', 'familial hypophosphataemia']]"
"[1, 0]","[['obsolete Histoplasma capsulatum gastritis'], ['obsolete adnexal mucinous adenocarcinoma']]"
"[1, 0]","[['Senior-Loken syndrome', 'Loken Senior syndrome', 'renal-retinal syndrome'], ['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease']]"
"[1, 0]","[['Caroli disease'], ['Plesiomonas shigelloides', 'Plesiomonas']]"
[3],"[['Hypokalemic periodic paralysis', 'Westphal disease', 'hypokalemic periodic paralysis', 'Hypokalemic familial periodic paralysis', 'familial hypokalemic periodic paralysis', 'Periodic paralysis I'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis'], ['familial periodic paralysis'], ['Timothy syndrome']]"
"[1, 0]","[['diversion colitis'], ['chemical colitis']]"
"[1, 0]","[['Peters anomaly'], ['flat cornea', 'cornea plana']]"
"[1, 0]","[['omphalocele', 'omphalocoele'], ['umbilical hernia']]"
"[1, 0]","[['Drug Incompatibility'], ['drug allergy']]"
[0],"[['fish allergy'], ['Other fish poisoning'], ['Fish Flour'], ['Struck by other fish'], ['Scombroid fish poisoning, undetermined'], ['Fishes, Poisonous'], ['Analysis, Spectrum', 'Spectrum Analysis', 'Spectrometry', 'Spectroscopy']]"
"[1, 0]","[['calcium metabolism disease'], ['familial benign hypercalcemia', 'FBH', 'FHH', 'familial benign hypocalciuric hypercalcemia', 'familial hypocalciuric hypercalcemia', 'FBHH']]"
"[1, 0]","[['multiple epiphyseal dysplasia', 'polyepiphyseal dysplasia'], ['Congenital anomaly of cartilage', 'chondrodystrophy', 'Osteochondrodysplasia syndrome', 'osteochondrodysplasia', 'Cartilage Development disorder']]"
[4],"[['wet beriberi'], ['beriberi'], ['Beriberi'], ['Beriberi'], ['thiamine deficiency disease'], ['dry beriberi'], ['Beriberi']]"
[2],"[['Flexural psoriasis', 'Other psoriasis'], ['psoriasis 2'], ['2-oxazolidone'], ['Flexural psoriasis', 'Other psoriasis']]"
[2],"[['dry eye syndrome', 'Tear film insufficiency'], ['Dry eye syndrome', 'Tear film insufficiency, NOS'], ['Conjunctival xerosis', 'xerophthalmia']]"
[4],"[['papilledema'], ['Optic papillitis'], ['papillitis', 'optic papillitis'], ['Papilledema'], ['retinal edema']]"
