ID,Syn
"2,xref,DOID:40056,DOID:40046","[""""""chromium allergic contact dermatitis""""""],[""""""allergic contact dermatitis to Ni"""""",""""""nickel allergic contact dermatitis""""""]"
"2,xref,DOID:40098,DOID:14482","[""""""pemphigus gestationis""""""],[""""""Gestational herpes"""""",""""""pemphigoid gestationis"""""",""""""herpes gestationis""""""]"
"2,xref,DOID:40099,DOID:9540","[""""""livedoid vasculopathy"""""",""""""livedoid vasculitis""""""],[""""""vascular skin disease""""""]"
"2,xref,DOID:10400,DOID:50004","[""""""Gonococcal seminal vesiculitis"""""",""""""gonococcal seminal vesiculitis"""""",""""""Gonorrhea of seminal vesicle""""""],[""""""seminal vesicle acute gonorrhea""""""]"
"6,xref,DOID:13902,DOID:1563,DOID:50133,DOID:4336,DOID:8913,DOID:12711","[""""""Tinea blanca"""""",""""""white piedra"""""",""""""White piedra""""""],[""""""dermatomycosis""""""],[""""""Steroid-modified tinea infection"""""",""""""piedra"""""",""""""superficial mycosis""""""],[""""""tinea favosa"""""",""""""favus""""""],[""""""dermatophytosis""""""],[""""""black piedra""""""]"
"2,xref,DOID:4976,DOID:50138","[""""""elephantiasis"""""",""""""Elephantiasis""""""],[""""""podoconiosis""""""]"
"2,xref,DOID:50152,DOID:3240","[""""""aspiration pneumonia""""""],[""""""Mendelson's Syndrome"""""",""""""Chemical pneumonitis"""""",""""""aspiration pneumonitis""""""]"
"4,xref,DOID:3770,DOID:2797,DOID:2800,DOID:50156","[""""""pulmonary fibrosis"""""",""""""Fibrosis of lung""""""],[""""""idiopathic interstitial pneumonia"""""",""""""Diffuse idiopathic pulmonary fibrosis"""""",""""""Idiopathic fibrosing alveolitis"""""",""""""IPF""""""],[""""""Hamman-Rich syndrome"""""",""""""Hamman-Rich disease"""""",""""""AIP"""""",""""""Idiopathic pulmonary fibrosis, acute fatal form"""""",""""""acute interstitial pneumonia"""""",""""""accelerated interstitial pneumonia""""""],[""""""FIBROCYSTIC PULMONARY DYSPLASIA"""""",""""""idiopathic pulmonary fibrosis"""""",""""""cryptogenic fibrosing alveolitis"""""",""""""IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL""""""]"
"2,xref,DOID:974,DOID:50161","[""""""upper respiratory tract disease""""""],[""""""lower respiratory tract disease""""""]"
"2,xref,DOID:2148,DOID:50166","[""""""tuberculous oophoritis""""""],[""""""tuberculous salpingitis""""""]"
"8,xref,DOID:70125,DOID:111140,DOID:50328,DOID:70126,DOID:70128,DOID:70127,DOID:70123,DOID:70124","[""""""CHNG5"""""",""""""congenital nongoitrous hypothyroidism 5""""""],[""""""central hypothyroidism and testicular enlargement"""""",""""""CHTE"""""",""""""X-linked central congenital hypothyroidism with late-onset macroorchidism"""""",""""""X-linked central congenital hypothyroidism with late-onset testicular enlargement"""""",""""""IGSF1 deficiency syndrome""""""],[""""""congenital hypothyroidism""""""],[""""""TSH resistance"""""",""""""CHNG1"""""",""""""congenital nongoitrous hypothyroidism 1""""""],[""""""CHNG6"""""",""""""congenital nongoitrous hypothyroidism 6""""""],[""""""CHNG3"""""",""""""congenital nongoitrous hypothyroidism 3""""""],[""""""congenital nongoitrous hypothyroidism 4"""""",""""""CHNG4"""""",""""""isolated thyrotropin deficiency""""""],[""""""congenital nongoitrous hypothyroidism 2"""""",""""""CHNG2"""""",""""""congenital hypothyroidism due to thyroid dysgenesis or hypoplasia""""""]"
"9,xref,DOID:110846,DOID:50427,DOID:110848,DOID:110850,DOID:110845,DOID:110849,DOID:110843,DOID:110844,DOID:110847","[""""""xeroderma pigmentosum group E"""""",""""""XP group E"""""",""""""xeroderma pigmentosum V"""""",""""""XP5"""""",""""""XPE""""""],[""""""xeroderma pigmentosum""""""],[""""""XP group F"""""",""""""xeroderma pigmentosum VI"""""",""""""XPF"""""",""""""xeroderma pigmentosum group F"""""",""""""XP6""""""],[""""""xeroderma pigmentosum group B"""""",""""""XPB"""""",""""""XP group B"""""",""""""XPBC""""""],[""""""XP group D"""""",""""""XP8"""""",""""""XPD"""""",""""""XP4"""""",""""""xeroderma pigmentosum group D"""""",""""""XP group H""""""],[""""""XPG"""""",""""""XP group G"""""",""""""xeroderma pigmentosum VII"""""",""""""XP7"""""",""""""xeroderma pigmentosum group G""""""],[""""""XPA"""""",""""""xeroderma pigmentosum 1"""""",""""""xeroderma pigmentosum group A"""""",""""""XP1"""""",""""""xeroderma pigmentosum complementation group A"""""",""""""XP group A""""""],[""""""XPC"""""",""""""xeroderma pigmentosum III"""""",""""""xeroderma pigmentosum group C"""""",""""""XP3"""""",""""""XPCC"""""",""""""XP group C""""""],[""""""XPV"""""",""""""xeroderma pigmentosum with normal DNA repair rates"""""",""""""photosensitivity with defective DNA synthesis"""""",""""""xeroderma pigmentosum variant type""""""]"
"2,xref,DOID:3390,DOID:50428","[""""""Palmoplantar Keratoderma"""""",""""""Keratosis palmaris et plantaris"""""",""""""palmoplantar keratosis""""""],[""""""nonepidermolytic palmoplantar keratoderma"""""",""""""diffuse nonepidermolytic palmomplantar keratoderma"""""",""""""tylosis"""""",""""""Thost-Unna Syndrome"""""",""""""Unna-Thost Syndrome""""""]"
"17,xref,DOID:70141,DOID:70142,DOID:70132,DOID:70131,DOID:3144,DOID:70136,DOID:2732,DOID:70138,DOID:70137,DOID:60862,DOID:70134,DOID:50429,DOID:70130,DOID:70135,DOID:70133,DOID:70140,DOID:70129","[""""""autosomal recessive cutis laxa type II classic type"""""",""""""ARCL2, Debre type"""""",""""""ARCL2, classic type""""""],[""""""ADCL"""""",""""""autosomal dominant cutis laxa""""""],[""""""autosomal recessive cutis laxa type IIIA"""""",""""""De Barsy syndrome A"""""",""""""ARCL3A""""""],[""""""autosomal dominant cutis laxa 3"""""",""""""ADCL3""""""],[""""""cutis laxa"""""",""""""Cutis laxa"""""",""""""loose skin""""""],[""""""autosomal dominant cutis laxa 2"""""",""""""ADCL2""""""],[""""""Rothmund-Thomson syndrome"""""",""""""Congenital poikiloderma"""""",""""""RTS""""""],[""""""De Barsy syndrome B"""""",""""""autosomal recessive cutis laxa type IIIB"""""",""""""ARCL3B""""""],[""""""ARCL2, progeroid type"""""",""""""ARCL2B"""""",""""""autosomal recessive cutis laxa type IIB""""""],[""""""Meleda disease"""""",""""""mal de Meleda"""""",""""""transgrediens palmoplantar keratoderma of Siemens"""""",""""""keratosis palmoplantaris transgrediens of Siemens""""""],[""""""autosomal recessive cutis laxa type IIA"""""",""""""ARCL2A""""""],[""""""BENIGN CHRONIC PEMPHIGUS"""""",""""""Hailey-Hailey disease"""""",""""""Pemphigus, Benign Familial""""""],[""""""autosomal dominant cutis laxa 1"""""",""""""ADCL1""""""],[""""""ARCL1A"""""",""""""autosomal recessive cutis laxa type IA""""""],[""""""autosomal recessive cutis laxa type IB"""""",""""""ARCL1B""""""],[""""""autosomal recessive cutis laxa type IIC""""""],[""""""autosomal recessive cutis laxa type IID"""""",""""""ARCL2D""""""]"
"4,xref,DOID:110828,DOID:110827,DOID:50439,DOID:110829","[""""""USH3"""""",""""""Usher syndrome type 3""""""],[""""""Usher syndrome type 2"""""",""""""USH2""""""],[""""""Usher syndrome""""""],[""""""retinitis pigmentosa-deafness syndrome""""""]"
"8,xref,DOID:70207,DOID:111138,DOID:50440,DOID:811,DOID:111135,DOID:111137,DOID:111136,DOID:11712","[""""""FPLD1"""""",""""""familial partial lipodystrophy Kobberling type"""""",""""""familial partial lipodystrophy type 1""""""],[""""""generalized congenital lipodystrophy with myopathy"""""",""""""Berardinelli-Seip congenital lipodystrophy type 4 with muscular dystrophy"""""",""""""congenital generalized lipodystrophy type 4"""""",""""""generalized congenital lipodystrophy type 4""""""],[""""""familial partial lipodystrophy"""""",""""""Koberling-Dunnigan Syndrome"""""",""""""Dunnigan Syndrome""""""],[""""""lipodystrophy""""""],[""""""Berardinelli-Seip Congenital Lipodystrophy, Type 1"""""",""""""congenital generalized lipodystrophy type 1"""""",""""""Brunzell syndrome AGPAT2-related""""""],[""""""congenital generalized lipodystrophy type 3"""""",""""""Berardinelli-Seip congenital lipodystrophy type 3""""""],[""""""congenital generalized lipodystrophy type 2"""""",""""""CGL2"""""",""""""Berardinelli-Seip syndrome"""""",""""""Berardinelli-Seip congenital lipodystrophy type 2"""""",""""""Brunzell syndrome BSCL2-related""""""],[""""""lipoatrophic diabetes"""""",""""""lipoatrophic diabetes mellitus""""""]"
"2,xref,DOID:10582,DOID:50444","[""""""HSMN IV"""""",""""""Refsum disease"""""",""""""Heredopathia atactica polyneuritiformis"""""",""""""Refsum's disease"""""",""""""HMSN type IV""""""],[""""""infantile phytanic acid storage disease"""""",""""""infantile Refsum disease""""""]"
"10,xref,DOID:50451,DOID:110224,DOID:110218,DOID:110221,DOID:110223,DOID:110220,DOID:110222,DOID:110225,DOID:110226,DOID:110219","[""""""Pokkuri death syndrome"""""",""""""Brugada syndrome"""""",""""""Brugada type idiopathic ventricular fibrillation"""""",""""""Dream disease"""""",""""""Bangungut""""""],[""""""BRGDA7"""""",""""""Brugada syndrome 7""""""],[""""""Brugada syndrome 1"""""",""""""BRGDA1""""""],[""""""BRGDA4"""""",""""""Brugada syndrome 4""""""],[""""""Brugada syndrome 6"""""",""""""BRGDA6""""""],[""""""BRGDA3"""""",""""""Brugada syndrome 3""""""],[""""""BRGDA5"""""",""""""Brugada syndrome 5""""""],[""""""BRGDA8"""""",""""""Brugada syndrome 8""""""],[""""""Brugada syndrome 9"""""",""""""BRGDA9""""""],[""""""Brugada syndrome 2"""""",""""""BRGDA2""""""]"
"2,xref,DOID:2987,DOID:50452","[""""""benign paroxysmal peritonitis"""""",""""""familial Mediterranean fever""""""],[""""""mevalonic aciduria"""""",""""""Mevalonate Kinase Deficiency""""""]"
"15,xref,DOID:60269,DOID:60276,DOID:90132,DOID:50777,DOID:60267,DOID:60277,DOID:90137,DOID:90130,DOID:60278,DOID:110096,DOID:60807,DOID:60270,DOID:4626,DOID:50453,DOID:60268","[""""""pontocerebellar hypoplasia type 2C""""""],[""""""pontocerebellar hypoplasia type 7""""""],[""""""complex cortical dysplasia with other brain malformations 7"""""",""""""CDCBM7"""""",""""""polymicrogyria due to TUBB2B mutation""""""],[""""""JBTS"""""",""""""Joubert syndrome""""""],[""""""pontocerebellar hypoplasia type 2A""""""],[""""""pontocerebellar hypoplasia type 8""""""],[""""""complex cortical dysplasia with other brain malformations 1"""""",""""""cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation"""""",""""""CDCBM1""""""],[""""""CDFE syndrome"""""",""""""cortical dysplasia-focal epilepsy syndrome"""""",""""""CDFES""""""],[""""""pontocerebellar hypoplasia type 9""""""],[""""""short-rib thoracic dysplasia 14 with polydactyly"""""",""""""SRTD14""""""],[""""""MICPCH"""""",""""""syndromic X-linked intellectual disability Najm type"""""",""""""X-linked intellectual disability-microcephaly-pontocerebellar hypoplasia syndrome"""""",""""""mental retardation and microcephaly with pontine and cerebellar hypoplasia""""""],[""""""pontocerebellar hypoplasia type 2D""""""],[""""""hydranencephaly""""""],[""""""lissencephaly""""""],[""""""pontocerebellar hypoplasia type 2B""""""]"
"2,xref,DOID:14500,DOID:50461","[""""""A-fucosidase deficiency"""""",""""""fucosidosis"""""",""""""alpha fucosidase deficiency""""""],[""""""aspartylglycosaminuria"""""",""""""aspartylglucosaminuria"""""",""""""GLYCOSYLASPARAGINASE DEFICIENCY"""""",""""""ASPARTYLGLUCOSAMINIDASE DEFICIENCY""""""]"
"3,xref,DOID:50508,DOID:8736,DOID:9153","[""""""variola major""""""],[""""""Ordinary smallpox"""""",""""""smallpox""""""],[""""""cottonpox"""""",""""""milkpox"""""",""""""Alastrim"""""",""""""variola minor"""""",""""""Variola minor""""""]"
"2,xref,DOID:5603,DOID:50523","[""""""acute T cell leukemia"""""",""""""T-cell acute lymphoblastic leukemia"""""",""""""Precursor T Lymphoblastic Leukemia""""""],[""""""adult T-cell leukemia"""""",""""""Adult T-cell leukemia/lymphoma""""""]"
"2,xref,DOID:8498,DOID:50534","[""""""Congenital night blindness"""""",""""""hereditary night blindness""""""],[""""""congenital essential nyctalopia"""""",""""""congenital stationary night blindness""""""]"
"3,xref,DOID:1492,DOID:13208,DOID:50535","[""""""eye and adnexa disease""""""],[""""""background diabetic retinopathy"""""",""""""Non proliferative diabetic retinopathy"""""",""""""Non-Proliferative Diabetic Retinopathy""""""],[""""""exudative vitreoretinopathy"""""",""""""FEVR"""""",""""""familial exudative vitreoretinopathy""""""]"
