PharmGKB_Id,Name,Alternate_names,Cross-reference,External_Vocabulary
PharmGKB:PA165108557,11q partial monosomy syndrome,"[""""""""""""]","[""""""""""""]","[""""""MeSH:D054868"""""",""""""SnoMedCT:4325000"""""",""""""UMLS:C0795841"""""",""""""NDFRT:N0000181176""""""]"
PharmGKB:PA128406957,5-fluorouracil associated toxicity,"[""""""""""""]","[""""""""""""]","[""""""""""""]"
PharmGKB:PA152408019,ACAD9 Deficiency,"[""""""""""""]","[""""""""""""]","[""""""""""""]"
PharmGKB:PA166048738,AIDS-Related Opportunistic Infections,"[""""""""""""]","[""""""""""""]","[""""""NDFRT:N0000003524""""""]"
PharmGKB:PA165108787,AV nodal re-entry tachycardia,"[""""""Atrioventricular nodal re-entry tachycardia""""""]","[""""""""""""]","[""""""MeSH:D013611"""""",""""""SnoMedCT:251166008"""""",""""""UMLS:C0039232"""""",""""""MedDRA:10003682"""""",""""""NDFRT:N0000002889""""""]"
PharmGKB:PA446766,Abdominal Abscess,"[""""""Abdominal Abscesses"""""",""""""Abdominal abscess"""""",""""""Abdominal abscess, NOS"""""",""""""Abscess, Abdominal"""""",""""""Abscess, Intra Abdominal"""""",""""""Abscess, Intra-Abdominal"""""",""""""Abscesses, Abdominal"""""",""""""Abscesses, Intra-Abdominal"""""",""""""Intra-Abdominal Abscess"""""",""""""Intra-Abdominal Abscesses""""""]","[""""""""""""]","[""""""MeSH:D018784"""""",""""""SnoMedCT:75100008"""""",""""""UMLS:C0243001"""""",""""""MedDRA:10060921"""""",""""""NDFRT:N0000003856""""""]"
PharmGKB:PA446220,Abdominal Pain,"[""""""AP - Abdominal pain"""""",""""""Abdominal Pains"""""",""""""Abdominal pain"""""",""""""Pain, Abdominal"""""",""""""Pains, Abdominal"""""",""""""[D]Abdominal pain""""""]","[""""""""""""]","[""""""MeSH:D015746"""""",""""""SnoMedCT:207205003"""""",""""""SnoMedCT:21522001"""""",""""""UMLS:C0000737"""""",""""""MedDRA:10000039"""""",""""""NDFRT:N0000003309""""""]"
PharmGKB:PA165109087,Abdominal fibromatosis,"[""""""Abdominal desmoid tumor"""""",""""""Abdominal desmoid tumour""""""]","[""""""""""""]","[""""""MeSH:D018221"""""",""""""SnoMedCT:400153009"""""",""""""UMLS:C0206646"""""",""""""MedDRA:10059354"""""",""""""NDFRT:N0000003695""""""]"
PharmGKB:PA165109033,Abducens nerve weakness,"[""""""Sixth cranial nerve weakness""""""]","[""""""""""""]","[""""""MeSH:D020434"""""",""""""SnoMedCT:398963001"""""",""""""UMLS:C0271355"""""",""""""MedDRA:10053662"""""",""""""NDFRT:N0000004148""""""]"
PharmGKB:PA443222,Abetalipoproteinemia,"[""""""ABL - Abetalipoproteinaemia"""""",""""""ABL - Abetalipoproteinemia"""""",""""""Abetalipoproteinaemia"""""",""""""Abetalipoproteinemias"""""",""""""Apolipoprotein B Deficiency Disease"""""",""""""Apolipoprotein B deficiency"""""",""""""Bassen Kornzweig Disease"""""",""""""Bassen Kornzweig Syndrome"""""",""""""Bassen-Kornzweig Disease"""""",""""""Bassen-Kornzweig Diseases"""""",""""""Bassen-Kornzweig Syndrome"""""",""""""Betalipoprotein Deficiency Disease"""""",""""""Betalipoprotein Deficiency Diseases"""""",""""""Deficiency Disease, Apolipoprotein B"""""",""""""Deficiency Disease, Betalipoprotein"""""",""""""Deficiency Disease, Microsomal Triglyceride Transfer Protein"""""",""""""Deficiency Diseases, Betalipoprotein"""""",""""""Disease, Betalipoprotein Deficiency"""""",""""""Diseases, Bassen-Kornzweig"""""",""""""Diseases, Betalipoprotein Deficiency"""""",""""""Familial hypobetalipoproteinaemia"""""",""""""Microsomal Triglyceride Transfer Protein Deficiency Disease""""""]","[""""""""""""]","[""""""MeSH:D000012"""""",""""""SnoMedCT:190787008"""""",""""""SnoMedCT:60193003"""""",""""""UMLS:C0000744"""""",""""""NDFRT:N0000000263""""""]"
