ID,Syn
"0,ICD10_CM:M24.659","[""""""Ankylosis, unspecified hip""""""]"
"0,ICD10_CM:M11.259","[""""""Other chondrocalcinosis, unspecified hip""""""]"
"1,ICD10_CM:A83.3","[""""""St Louis encephalitis""""""]"
"1,ICD10:A83.3","[""""""St Louis encephalitis""""""]"
"2,ICD10_CM:T25.6","[""""""Corrosion of second degree of ankle and foot""""""]"
"2,ICD10_CM:T25.69","[""""""Corrosion of second degree of multiple sites of ankle and foot""""""]"
"2,ICD10_CM:T25.699","[""""""Corrosion of second degree of unspecified ankle and foot""""""]"
"2,ICD10:T25.6","[""""""Corrosion of second degree of ankle and foot""""""]"
"3,ICD10_CM:M25.64","[""""""Stiffness of hand, not elsewhere classified""""""]"
"3,ICD10_CM:M13.14","[""""""Monoarthritis, not elsewhere classified, hand""""""]"
"4,ICD10_CM:M47.02","[""""""Vertebral artery compression syndromes""""""]"
"4,ICD10_CM:M47.0","[""""""Anterior spinal and vertebral artery compression syndromes""""""]"
"5,ICD10:A98.0","[""""""Central Asian haemorrhagic fever"""""",""""""Crimean-Congo haemorrhagic fever""""""]"
"5,ICD10_CM:A98.0","[""""""Crimean-Congo hemorrhagic fever"""""",""""""Central Asian hemorrhagic fever""""""]"
"6,ICD10_CM:M87.353","[""""""Other secondary osteonecrosis, unspecified femur""""""]"
"6,ICD10_CM:M87.376","[""""""Other secondary osteonecrosis, unspecified foot""""""]"
"6,ICD10_CM:M87.319","[""""""Other secondary osteonecrosis, unspecified shoulder""""""]"
"6,ICD10_CM:M87.363","[""""""Other secondary osteonecrosis, unspecified tibia""""""]"
"6,ICD10_CM:M87.336","[""""""Other secondary osteonecrosis of unspecified ulna""""""]"
"6,ICD10:M87.9","[""""""Osteonecrosis, unspecified""""""]"
"6,ICD10_CM:M87.339","[""""""Other secondary osteonecrosis of unspecified carpus""""""]"
"7,ICD10_CM:T23.272","[""""""Burn of second degree of left wrist""""""]"
"7,ICD10:T23.2","[""""""Burn of second degree of wrist and hand""""""]"
"7,ICD10_CM:T22.232","[""""""Burn of second degree of left upper arm""""""]"
"7,ICD10_CM:T22.23","[""""""Burn of second degree of upper arm""""""]"
"7,ICD10_CM:T23.2","[""""""Burn of second degree of wrist and hand""""""]"
"8,ICD10_CM:B01.9","[""""""Varicella without complication"""""",""""""Varicella NOS""""""]"
"8,ICD10:B05.9","[""""""Measles without complication"""""",""""""Measles NOS""""""]"
"8,ICD10_CM:B05.9","[""""""Measles without complication"""""",""""""Measles NOS""""""]"
"8,ICD10:B01.9","[""""""Varicella without complication"""""",""""""Varicella NOS""""""]"
"9,DOID:7968","[""""""plasmacytoid variant infiltrating bladder urothelial carcinoma""""""]"
"9,DOID:6976","[""""""micropapillary variant infiltrating bladder urothelial carcinoma""""""]"
"9,DOID:7971","[""""""microcystic variant infiltrating bladder urothelial carcinoma""""""]"
"10,ICD10_CM:M25.41","[""""""Effusion, shoulder""""""]"
"10,ICD10_CM:M89.51","[""""""Osteolysis, shoulder""""""]"
"11,ICD10:B05.4","[""""""Measles with intestinal complications""""""]"
"11,ICD10_CM:B05.4","[""""""Measles with intestinal complications""""""]"
"12,ICD10:Q14","[""""""Congenital malformations of posterior segment of eye""""""]"
"12,ICD10:Q14.8","[""""""Coloboma of the fundus"""""",""""""Other congenital malformations of posterior segment of eye""""""]"
"12,ICD10_CM:Q14.8","[""""""Coloboma of the fundus"""""",""""""Other congenital malformations of posterior segment of eye""""""]"
"13,ICD10_CM:M12.119","[""""""Kaschin-Beck disease, unspecified shoulder""""""]"
"13,ICD10_CM:M12.111","[""""""Kaschin-Beck disease, right shoulder""""""]"
"14,ICD10_CM:B17","[""""""Other acute viral hepatitis""""""]"
"14,ICD10:B17","[""""""Other acute viral hepatitis""""""]"
"15,PharmGKB:PA444684","[""""""Failures, End-Stage Renal"""""",""""""Failures, Chronic Renal"""""",""""""ESRF - End stage renal failure"""""",""""""Chronic Kidney Failure"""""",""""""End stage renal disease"""""",""""""Kidney Insufficiency, Chronic"""""",""""""End stage kidney disease"""""",""""""End-Stage Renal Diseases"""""",""""""ESRD - End stage renal disease"""""",""""""End-Stage Renal Failures"""""",""""""Insufficiencies, Chronic Renal"""""",""""""Kidney Diseases, End-Stage"""""",""""""Insufficiencies, Chronic Kidney"""""",""""""Insufficiency, Chronic Kidney"""""",""""""End stage chronic renal failure"""""",""""""Chronic Kidney Failures"""""",""""""Kidney Failures, Chronic"""""",""""""Renal Disease, End Stage"""""",""""""Chronic Kidney Insufficiency"""""",""""""Disease, End-Stage Renal"""""",""""""Chronic Renal Insufficiency"""""",""""""End-Stage Renal Failure"""""",""""""Failures, Chronic Kidney"""""",""""""End Stage Renal Disease"""""",""""""Kidney Insufficiencies, Chronic"""""",""""""Renal Failure, End Stage"""""",""""""Renal Disease, End-Stage"""""",""""""Failure, Chronic Renal"""""",""""""Chronic Renal Failures"""""",""""""Renal Failures, Chronic"""""",""""""Kidney Disease, End-Stage"""""",""""""Renal Failure, Chronic"""""",""""""Renal Insufficiencies, Chronic"""""",""""""Renal Insufficiency, Chronic"""""",""""""Failure, Chronic Kidney"""""",""""""Chronic Kidney Insufficiencies"""""",""""""Kidney Failure, Chronic"""""",""""""Insufficiency, Chronic Renal"""""",""""""End-Stage Kidney Diseases"""""",""""""Renal Failure, End-Stage"""""",""""""End-Stage Renal Disease"""""",""""""Chronic Renal Failure"""""",""""""Disease, End-Stage Kidney"""""",""""""ESCRF - End stage chronic renal failure"""""",""""""End-Stage Kidney Disease"""""",""""""End Stage Kidney Disease"""""",""""""Chronic Renal Insufficiencies"""""",""""""Diseases, End-Stage Kidney"""""",""""""Diseases, End-Stage Renal"""""",""""""Failure, End-Stage Renal"""""",""""""ESRD"""""",""""""Renal Diseases, End-Stage"""""",""""""Renal Failures, End-Stage""""""]"
"15,MeSH:D007676","[""""""Renal Failure, Chronic"""""",""""""End-Stage Kidney Disease"""""",""""""Kidney Failure, Chronic"""""",""""""Chronic Kidney Failure"""""",""""""Renal Failure, End-Stage"""""",""""""End-Stage Renal Disease"""""",""""""ESRD"""""",""""""Renal Disease, End-Stage""""""]"
"16,ICD10_CM:H65.0","[""""""Acute and subacute secretory otitis"""""",""""""Acute serous otitis media""""""]"
"16,ICD10:H65.0","[""""""Acute serous otitis media"""""",""""""Acute and subacute secretory otitis media""""""]"
"17,ICD10_CM:T23.032","[""""""Burn of unspecified degree of multiple left fingers (nail), not including thumb""""""]"
"17,ICD10_CM:T23.042","[""""""Burn of unspecified degree of multiple left fingers (nail), including thumb""""""]"
"18,ICD10_CM:B27.92","[""""""Infectious mononucleosis, unspecified with meningitis""""""]"
"18,ICD10_CM:B27.82","[""""""Other infectious mononucleosis with meningitis""""""]"
"19,ICD10_CM:T70.1","[""""""Sinus barotrauma"""""",""""""Aerosinusitis"""""",""""""Sinus barotraumaAerosinusitis"""""",""""""Effects of change in ambient atmospheric pressure on sinuses""""""]"
"19,ICD10:T70.1","[""""""Sinus barotrauma"""""",""""""Aerosinusitis"""""",""""""Effects of change in ambient atmospheric pressure on sinuses""""""]"
"20,ICD10_CM:S21.121","[""""""Laceration with foreign body of right front wall of thorax without penetration into thoracic cavity""""""]"
"20,ICD10_CM:S21.32","[""""""Laceration with foreign body of front wall of thorax with penetration into thoracic cavity""""""]"
"20,ICD10_CM:S21.329","[""""""Laceration with foreign body of unspecified front wall of thorax with penetration into thoracic cavity""""""]"
"20,ICD10_CM:S21.111","[""""""Laceration without foreign body of right front wall of thorax without penetration into thoracic cavity""""""]"
"20,ICD10_CM:S21.321","[""""""Laceration with foreign body of right front wall of thorax with penetration into thoracic cavity""""""]"
"20,ICD10_CM:S21.422","[""""""Laceration with foreign body of left back wall of thorax with penetration into thoracic cavity""""""]"
"20,ICD10_CM:S21.322","[""""""Laceration with foreign body of left front wall of thorax with penetration into thoracic cavity""""""]"
"20,ICD10_CM:S21.311","[""""""Laceration without foreign body of right front wall of thorax with penetration into thoracic cavity""""""]"
"21,ICD10_CM:M06.231","[""""""Rheumatoid bursitis, right wrist""""""]"
"21,ICD10_CM:M06.23","[""""""Rheumatoid bursitis, wrist""""""]"
"21,ICD10_CM:M06.331","[""""""Rheumatoid nodule, right wrist""""""]"
"22,ICD10_CM:M25.9","[""""""Joint disorder, unspecified""""""]"
"22,ICD10:M25.9","[""""""Joint disorder, unspecified""""""]"
"23,ICD10_CM:T71.113","[""""""Asphyxiation due to smothering under pillow, assault""""""]"
"23,ICD10_CM:T71.11","[""""""Asphyxiation due to smothering under pillow""""""]"
"23,ICD10_CM:T71.153","[""""""Asphyxiation due to smothering in furniture, assault""""""]"
"24,ICD10_CM:T71.112","[""""""Asphyxiation due to smothering under pillow, intentional self-harm""""""]"
"24,ICD10_CM:T71.152","[""""""Asphyxiation due to smothering in furniture, intentional self-harm""""""]"
"25,ICD10_CM:T71.154","[""""""Asphyxiation due to smothering in furniture, undetermined""""""]"
"25,ICD10_CM:T71.114","[""""""Asphyxiation due to smothering under pillow, undetermined""""""]"
"26,ICD10_CM:S89.002","[""""""Unspecified physeal fracture of upper end of left tibia""""""]"
"26,ICD10_CM:S82.192","[""""""Other fracture of upper end of left tibia""""""]"
"26,ICD10_CM:S52.092","[""""""Other fracture of upper end of left ulna""""""]"
"27,PharmGKB:PA443942","[""""""Disease, Duodenal"""""",""""""Duodenal Disease"""""",""""""Duodenal Diseases"""""",""""""Diseases, Duodenal""""""]"
"27,MeSH:D004378","[""""""Duodenal Diseases""""""]"
"28,ICD10_CM:K57.32","[""""""Diverticulitis of large intestine without perforation or abscess without bleeding""""""]"
"28,ICD10_CM:K57.53","[""""""Diverticulitis of both small and large intestine without perforation or abscess with bleeding""""""]"
"28,ICD10_CM:K57.33","[""""""Diverticulitis of large intestine without perforation or abscess with bleeding""""""]"
"28,ICD10_CM:K57.40","[""""""Diverticulitis of both small and large intestine with perforation and abscess without bleeding""""""]"
"28,ICD10_CM:K57.41","[""""""Diverticulitis of both small and large intestine with perforation and abscess with bleeding""""""]"
"28,ICD10_CM:K57.20","[""""""Diverticulitis of large intestine with perforation and abscess without bleeding""""""]"
"28,ICD10_CM:K57.21","[""""""Diverticulitis of large intestine with perforation and abscess with bleeding""""""]"
"28,ICD10_CM:K57.52","[""""""Diverticulitis of both small and large intestine without perforation or abscess without bleeding""""""]"
"29,ICD10_CM:S42.03","[""""""Fracture of acromial end of clavicle"""""",""""""Fracture of lateral end of clavicle""""""]"
"29,ICD10_CM:S89.3","[""""""Physeal fracture of lower end of fibula""""""]"
"29,ICD10_CM:S89.39","[""""""Other physeal fracture of lower end of fibula""""""]"
"30,MeSH:D008010","[""""""Lichen Planus"""""",""""""Lichen Ruber Planus"""""",""""""Lichen Rubra Planus""""""]"
"30,PharmGKB:PA165108197","[""""""Lichen planus NOS""""""]"
