head,tail,relation
(-)-carbovir 5'-diphosphate,PA166131343,Name-PharmGKB_Id(Chemicals)
PA166131343,(-)-carbovir 5'-diphosphate,PharmGKB_Id-Name(Chemicals)
PA166131343,PubChem Compound:135564825,Cross_reference(Chemicals)
(R)-methadone,PA166178312,Name-PharmGKB_Id(Chemicals)
PA166178312,(R)-methadone,PharmGKB_Id-Name(Chemicals)
(R)-methadone,levomethadone,Synonym(Chemicals)
PA166178312,PubChem Compound:22267,Cross_reference(Chemicals)
(S)-EDDP,PA166177606,Name-PharmGKB_Id(Chemicals)
PA166177606,(S)-EDDP,PharmGKB_Id-Name(Chemicals)
(S)-EDDP,"[S-(E)]-2-ethylidene-1,5-dimethyl-3,3-diphenyl-pyrrolidine (S-EDDP)",Synonym(Chemicals)
PA166177606,PubChem Compound:71316608,Cross_reference(Chemicals)
(S)-methadone,PA166178554,Name-PharmGKB_Id(Chemicals)
PA166178554,(S)-methadone,PharmGKB_Id-Name(Chemicals)
PA166178554,PubChem Compound:643985,Cross_reference(Chemicals)
(s)-norverapamil,PA166165069,Name-PharmGKB_Id(Chemicals)
PA166165069,(s)-norverapamil,PharmGKB_Id-Name(Chemicals)
PA166165069,PubChem Compound:15593908,Cross_reference(Chemicals)
"1,3,7-trimethyluric acid",PA166131367,Name-PharmGKB_Id(Chemicals)
PA166131367,"1,3,7-trimethyluric acid",PharmGKB_Id-Name(Chemicals)
PA166131367,PubChem Compound:79437,Cross_reference(Chemicals)
"1,3-dimethyl uric acid",PA166131353,Name-PharmGKB_Id(Chemicals)
PA166131353,"1,3-dimethyl uric acid",PharmGKB_Id-Name(Chemicals)
PA166131353,PubChem Compound:70346,Cross_reference(Chemicals)
"1,4-benzenediyl diradical",PA166131546,Name-PharmGKB_Id(Chemicals)
PA166131546,"1,4-benzenediyl diradical",PharmGKB_Id-Name(Chemicals)
"1,7-dimethyluric acid",PA166131373,Name-PharmGKB_Id(Chemicals)
PA166131373,"1,7-dimethyluric acid",PharmGKB_Id-Name(Chemicals)
"1,7-dimethyluric acid",17U,Synonym(Chemicals)
PA166131373,PubChem Compound:91611,Cross_reference(Chemicals)
"1,7-dimethylxanthine",PA165820585,Name-PharmGKB_Id(Chemicals)
PA165820585,"1,7-dimethylxanthine",PharmGKB_Id-Name(Chemicals)
"1,7-dimethylxanthine",17X,Synonym(Chemicals)
"1,7-dimethylxanthine",paraxanthine,Synonym(Chemicals)
PA165820585,PubChem Compound:4687,Cross_reference(Chemicals)
1-hydroxyibuprofen,PA166131327,Name-PharmGKB_Id(Chemicals)
PA166131327,1-hydroxyibuprofen,PharmGKB_Id-Name(Chemicals)
PA166131327,PubChem Compound:45117195,Cross_reference(Chemicals)
1-hydroxyibuprofen glucuronide,PA166131541,Name-PharmGKB_Id(Chemicals)
PA166131541,1-hydroxyibuprofen glucuronide,PharmGKB_Id-Name(Chemicals)
