head,tail,relation
11q partial monosomy syndrome,PA165108557,Name-PharmGKB_Id(Phenotypes)
PA165108557,11q partial monosomy syndrome,PharmGKB_Id-Name(Phenotypes)
PA165108557,MeSH:D054868,External_vocabulary(Phenotypes)
PA165108557,SnoMedCT:4325000,External_vocabulary(Phenotypes)
PA165108557,UMLS:C0795841,External_vocabulary(Phenotypes)
PA165108557,NDFRT:N0000181176,External_vocabulary(Phenotypes)
5-fluorouracil associated toxicity,PA128406957,Name-PharmGKB_Id(Phenotypes)
PA128406957,5-fluorouracil associated toxicity,PharmGKB_Id-Name(Phenotypes)
ACAD9 Deficiency,PA152408019,Name-PharmGKB_Id(Phenotypes)
PA152408019,ACAD9 Deficiency,PharmGKB_Id-Name(Phenotypes)
AIDS-Related Opportunistic Infections,PA166048738,Name-PharmGKB_Id(Phenotypes)
PA166048738,AIDS-Related Opportunistic Infections,PharmGKB_Id-Name(Phenotypes)
PA166048738,NDFRT:N0000003524,External_vocabulary(Phenotypes)
AV nodal re-entry tachycardia,PA165108787,Name-PharmGKB_Id(Phenotypes)
PA165108787,AV nodal re-entry tachycardia,PharmGKB_Id-Name(Phenotypes)
AV nodal re-entry tachycardia,Atrioventricular nodal re-entry tachycardia,Synonym(Phenotypes)
PA165108787,MeSH:D013611,External_vocabulary(Phenotypes)
PA165108787,SnoMedCT:251166008,External_vocabulary(Phenotypes)
PA165108787,UMLS:C0039232,External_vocabulary(Phenotypes)
PA165108787,MedDRA:10003682,External_vocabulary(Phenotypes)
PA165108787,NDFRT:N0000002889,External_vocabulary(Phenotypes)
Abdominal Abscess,PA446766,Name-PharmGKB_Id(Phenotypes)
PA446766,Abdominal Abscess,PharmGKB_Id-Name(Phenotypes)
Abdominal Abscess,Abdominal Abscesses,Synonym(Phenotypes)
Abdominal Abscess,Abdominal abscess,Synonym(Phenotypes)
Abdominal Abscess,"Abdominal abscess, NOS",Synonym(Phenotypes)
Abdominal Abscess,"Abscess, Abdominal",Synonym(Phenotypes)
Abdominal Abscess,"Abscess, Intra Abdominal",Synonym(Phenotypes)
Abdominal Abscess,"Abscess, Intra-Abdominal",Synonym(Phenotypes)
Abdominal Abscess,"Abscesses, Abdominal",Synonym(Phenotypes)
Abdominal Abscess,"Abscesses, Intra-Abdominal",Synonym(Phenotypes)
Abdominal Abscess,Intra-Abdominal Abscess,Synonym(Phenotypes)
Abdominal Abscess,Intra-Abdominal Abscesses,Synonym(Phenotypes)
PA446766,MeSH:D018784,External_vocabulary(Phenotypes)
PA446766,SnoMedCT:75100008,External_vocabulary(Phenotypes)
PA446766,UMLS:C0243001,External_vocabulary(Phenotypes)
PA446766,MedDRA:10060921,External_vocabulary(Phenotypes)
PA446766,NDFRT:N0000003856,External_vocabulary(Phenotypes)
Abdominal Pain,PA446220,Name-PharmGKB_Id(Phenotypes)
PA446220,Abdominal Pain,PharmGKB_Id-Name(Phenotypes)
Abdominal Pain,AP - Abdominal pain,Synonym(Phenotypes)
Abdominal Pain,Abdominal Pains,Synonym(Phenotypes)
Abdominal Pain,Abdominal pain,Synonym(Phenotypes)
Abdominal Pain,"Pain, Abdominal",Synonym(Phenotypes)
Abdominal Pain,"Pains, Abdominal",Synonym(Phenotypes)
Abdominal Pain,[D]Abdominal pain,Synonym(Phenotypes)
PA446220,MeSH:D015746,External_vocabulary(Phenotypes)
PA446220,SnoMedCT:207205003,External_vocabulary(Phenotypes)
PA446220,SnoMedCT:21522001,External_vocabulary(Phenotypes)
PA446220,UMLS:C0000737,External_vocabulary(Phenotypes)
PA446220,MedDRA:10000039,External_vocabulary(Phenotypes)
PA446220,NDFRT:N0000003309,External_vocabulary(Phenotypes)
Abdominal fibromatosis,PA165109087,Name-PharmGKB_Id(Phenotypes)
PA165109087,Abdominal fibromatosis,PharmGKB_Id-Name(Phenotypes)
Abdominal fibromatosis,Abdominal desmoid tumor,Synonym(Phenotypes)
Abdominal fibromatosis,Abdominal desmoid tumour,Synonym(Phenotypes)
PA165109087,MeSH:D018221,External_vocabulary(Phenotypes)
PA165109087,SnoMedCT:400153009,External_vocabulary(Phenotypes)
PA165109087,UMLS:C0206646,External_vocabulary(Phenotypes)
PA165109087,MedDRA:10059354,External_vocabulary(Phenotypes)
PA165109087,NDFRT:N0000003695,External_vocabulary(Phenotypes)
Abducens nerve weakness,PA165109033,Name-PharmGKB_Id(Phenotypes)
PA165109033,Abducens nerve weakness,PharmGKB_Id-Name(Phenotypes)
Abducens nerve weakness,Sixth cranial nerve weakness,Synonym(Phenotypes)
PA165109033,MeSH:D020434,External_vocabulary(Phenotypes)
PA165109033,SnoMedCT:398963001,External_vocabulary(Phenotypes)
PA165109033,UMLS:C0271355,External_vocabulary(Phenotypes)
PA165109033,MedDRA:10053662,External_vocabulary(Phenotypes)
PA165109033,NDFRT:N0000004148,External_vocabulary(Phenotypes)
Abetalipoproteinemia,PA443222,Name-PharmGKB_Id(Phenotypes)
PA443222,Abetalipoproteinemia,PharmGKB_Id-Name(Phenotypes)
Abetalipoproteinemia,ABL - Abetalipoproteinaemia,Synonym(Phenotypes)
Abetalipoproteinemia,ABL - Abetalipoproteinemia,Synonym(Phenotypes)
Abetalipoproteinemia,Abetalipoproteinaemia,Synonym(Phenotypes)
Abetalipoproteinemia,Abetalipoproteinemias,Synonym(Phenotypes)
Abetalipoproteinemia,Apolipoprotein B Deficiency Disease,Synonym(Phenotypes)
Abetalipoproteinemia,Apolipoprotein B deficiency,Synonym(Phenotypes)
Abetalipoproteinemia,Bassen Kornzweig Disease,Synonym(Phenotypes)
Abetalipoproteinemia,Bassen Kornzweig Syndrome,Synonym(Phenotypes)
Abetalipoproteinemia,Bassen-Kornzweig Disease,Synonym(Phenotypes)
Abetalipoproteinemia,Bassen-Kornzweig Diseases,Synonym(Phenotypes)
Abetalipoproteinemia,Bassen-Kornzweig Syndrome,Synonym(Phenotypes)
Abetalipoproteinemia,Betalipoprotein Deficiency Disease,Synonym(Phenotypes)
Abetalipoproteinemia,Betalipoprotein Deficiency Diseases,Synonym(Phenotypes)
Abetalipoproteinemia,"Deficiency Disease, Apolipoprotein B",Synonym(Phenotypes)
Abetalipoproteinemia,"Deficiency Disease, Betalipoprotein",Synonym(Phenotypes)
Abetalipoproteinemia,"Deficiency Disease, Microsomal Triglyceride Transfer Protein",Synonym(Phenotypes)
Abetalipoproteinemia,"Deficiency Diseases, Betalipoprotein",Synonym(Phenotypes)
Abetalipoproteinemia,"Disease, Betalipoprotein Deficiency",Synonym(Phenotypes)
Abetalipoproteinemia,"Diseases, Bassen-Kornzweig",Synonym(Phenotypes)
Abetalipoproteinemia,"Diseases, Betalipoprotein Deficiency",Synonym(Phenotypes)
Abetalipoproteinemia,Familial hypobetalipoproteinaemia,Synonym(Phenotypes)
Abetalipoproteinemia,Microsomal Triglyceride Transfer Protein Deficiency Disease,Synonym(Phenotypes)
