head,tail,relation
rs141033578,"[['ivacaftor', '(PA165950341)']]",activity of
rs141033578,"[['CFTR', '(PA109)']]",belongs to
rs4646244,"[['NAT2', '(PA18)']]",belongs to
rs11849538,"[['estradiol', '(PA449503)']]",increased expression of
rs2369049,"[['estradiol', '(PA449503)']]",increased expression of
rs11615,"[['ERCC1', '(PA155)']]",belongs to
rs2108622,"[['CYP4F2', '(PA27121)']]",belongs to
rs2108622,"[['Vitamin', 'K', '(PA164713404)']]",increased concentrations of
rs2108622,"[['CYP4F2', '(PA27121)']]",belongs to
rs1799971,"[['OPRM1', '(PA31945)']]",belongs to
rs1799971,"[['OPRM1', '(PA31945)']]",belongs to
rs1902023,"[['UGT2B15', '(PA37188)']]",belongs to
NAT2*4,"[['sulfamethazine', '(PA451542)']]",increased catalytic activity of
NAT2*4,"[['NAT2', '(PA18)']]",belongs to
DPYD*9B,"[['DPYD', '(PA145)']]",belongs to
rs4751104,"[['MGMT', '(PA239)']]",belongs to
rs71647871,"[['trandolapril', '(PA451737)']]",decreased activity of
rs71647871,"[['CES1', '(PA107)']]",belongs to
rs767263838,"[['acetaminophen', '(PA448015)']]",decreased sulfation of
rs767263838,"[['SULT1A3', '(PA344)']]",belongs to
rs767263838,"[['morphine', '(PA450550)']]",decreased sulfation of
rs767263838,"[['SULT1A3', '(PA344)']]",belongs to
rs767263838,"[['tapentadol', '(PA166179720)']]",decreased sulfation of
rs767263838,"[['SULT1A3', '(PA344)']]",belongs to
rs767263838,"[['o-desmethyltramadol', '(PA166131379)']]",decreased sulfation of
rs767263838,"[['SULT1A3', '(PA344)']]",belongs to
rs757573592,"[['acetaminophen', '(PA448015)']]",decreased sulfation of
rs757573592,"[['SULT1A3', '(PA344)']]",belongs to
rs757573592,"[['morphine', '(PA450550)']]",decreased sulfation of
rs757573592,"[['SULT1A3', '(PA344)']]",belongs to
rs757573592,"[['tapentadol', '(PA166179720)']]",decreased sulfation of
rs757573592,"[['SULT1A3', '(PA344)']]",belongs to
rs757573592,"[['o-desmethyltramadol', '(PA166131379)']]",decreased sulfation of
rs757573592,"[['SULT1A3', '(PA344)']]",belongs to
rs776817009,"[['acetaminophen', '(PA448015)']]",decreased sulfation of
rs776817009,"[['SULT1A3', '(PA344)']]",belongs to
rs776817009,"[['SULT1A3', '(PA344)']]",belongs to
rs776817009,"[['tapentadol', '(PA166179720)']]",decreased sulfation of
rs776817009,"[['SULT1A3', '(PA344)']]",belongs to
rs776817009,"[['o-desmethyltramadol', '(PA166131379)']]",decreased sulfation of
rs776817009,"[['SULT1A3', '(PA344)']]",belongs to
rs762151655,"[['acetaminophen', '(PA448015)']]",decreased sulfation of
rs762151655,"[['SULT1A3', '(PA344)']]",belongs to
rs762151655,"[['morphine', '(PA450550)']]",decreased sulfation of
rs762151655,"[['SULT1A3', '(PA344)']]",belongs to
rs762151655,"[['tapentadol', '(PA166179720)']]",decreased sulfation of
rs762151655,"[['SULT1A3', '(PA344)']]",belongs to
rs113993958,"[['ivacaftor', '(PA165950341)']]",activity of
rs113993958,"[['CFTR', '(PA109)']]",belongs to
rs78769542,"[['ivacaftor', '(PA165950341)']]",activity of
rs78769542,"[['CFTR', '(PA109)']]",belongs to
rs762151655,"[['o-desmethyltramadol', '(PA166131379)']]",decreased sulfation of
rs762151655,"[['SULT1A3', '(PA344)']]",belongs to
rs750575779,"[['acetaminophen', '(PA448015)']]",decreased sulfation of
rs750575779,"[['SULT1A3', '(PA344)']]",belongs to
rs750575779,"[['SULT1A3', '(PA344)']]",belongs to
rs750575779,"[['tapentadol', '(PA166179720)']]",decreased sulfation of
rs750575779,"[['SULT1A3', '(PA344)']]",belongs to
rs750575779,"[['o-desmethyltramadol', '(PA166131379)']]",decreased sulfation of
rs750575779,"[['SULT1A3', '(PA344)']]",belongs to
rs553050853,"[['acetaminophen', '(PA448015)']]",decreased sulfation of
rs553050853,"[['SULT1A3', '(PA344)']]",belongs to
rs553050853,"[['morphine', '(PA450550)']]",decreased sulfation of
rs553050853,"[['SULT1A3', '(PA344)']]",belongs to
rs1801265,"[['DPYD', '(PA145)']]",belongs to
rs553050853,"[['tapentadol', '(PA166179720)']]",decreased sulfation of
rs553050853,"[['SULT1A3', '(PA344)']]",belongs to
rs553050853,"[['o-desmethyltramadol', '(PA166131379)']]",decreased sulfation of
rs553050853,"[['SULT1A3', '(PA344)']]",belongs to
rs751527244,"[['acetaminophen', '(PA448015)']]",decreased sulfation of
rs751527244,"[['SULT1A3', '(PA344)']]",belongs to
rs751527244,"[['acetaminophen', '(PA448015)']]",increased sulfation of
rs751527244,"[['SULT1A3', '(PA344)']]",belongs to
rs751527244,"[['SULT1A3', '(PA344)']]",belongs to
rs751527244,"[['tapentadol', '(PA166179720)']]",decreased sulfation of
rs751527244,"[['SULT1A3', '(PA344)']]",belongs to
rs751527244,"[['o-desmethyltramadol', '(PA166131379)']]",decreased sulfation of
rs751527244,"[['SULT1A3', '(PA344)']]",belongs to
rs1801020,"[['F12', '(PA161)']]",belongs to
rs669,"[['A2M', '(PA24357)']]",belongs to
rs751527244,"[['morphine', '(PA450550)']]",increased sulfation of
rs751527244,"[['SULT1A3', '(PA344)']]",belongs to
rs751527244,"[['tapentadol', '(PA166179720)']]",increased sulfation of
rs751527244,"[['SULT1A3', '(PA344)']]",belongs to
rs751527244,"[['o-desmethyltramadol', '(PA166131379)']]",increased sulfation of
rs751527244,"[['SULT1A3', '(PA344)']]",belongs to
rs1293732453,"[['acetaminophen', '(PA448015)']]",decreased sulfation of
rs1293732453,"[['SULT1A3', '(PA344)']]",belongs to
rs1293732453,"[['morphine', '(PA450550)']]",decreased sulfation of
rs1293732453,"[['SULT1A3', '(PA344)']]",belongs to
rs1293732453,"[['tapentadol', '(PA166179720)']]",increased sulfation of
rs1293732453,"[['SULT1A3', '(PA344)']]",belongs to
rs1293732453,"[['o-desmethyltramadol', '(PA166131379)']]",increased sulfation of
rs1293732453,"[['SULT1A3', '(PA344)']]",belongs to
rs1328799050,"[['acetaminophen', '(PA448015)']]",decreased sulfation of
rs1328799050,"[['SULT1A3', '(PA344)']]",belongs to
rs1328799050,"[['morphine', '(PA450550)']]",decreased sulfation of
rs1328799050,"[['SULT1A3', '(PA344)']]",belongs to
rs1328799050,"[['tapentadol', '(PA166179720)']]",decreased sulfation of
rs1328799050,"[['SULT1A3', '(PA344)']]",belongs to
rs1328799050,"[['o-desmethyltramadol', '(PA166131379)']]",decreased sulfation of
rs1328799050,"[['SULT1A3', '(PA344)']]",belongs to
"CYP2E1*7A, CYP2E1*7B","[['CYP2E1', '(PA129)']]",belongs to
rs1805123,"[['KCNH2', '(PA212)']]",belongs to
rs783145,"[['PLG', '(PA33405)']]",belongs to
rs104894021,"[['quinidine', '(PA451209)']]",decreased inhibition of
rs104894021,"[['KCNH2', '(PA212)']]",belongs to
rs316019,"[['SLC22A2', '(PA331)']]",belongs to
SLC22A1*2,"[['ranitidine', '(PA451224)']]",decreased transport of
SLC22A1*2,"[['SLC22A1', '(PA329)']]",belongs to
SLC22A1*1,"[['SLC22A1', '(PA329)']]",belongs to
SLC22A1*3,"[['ranitidine', '(PA451224)']]",decreased transport of
