head,tail,relation,note
rs1131873,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1131873,"[['EPHX1', '(PA27829)']]",belongs to,
rs1131873,"[['EPHX1', '(PA27829)']]",belongs to,
rs28371685,"[['warfarin', '(PA451906)']]",decreased dose of,
rs28371685,"[['CYP2C9', '(PA126)']]",belongs to,
rs28371686,"[['warfarin', '(PA451906)']]",decreased dose of,
rs28371686,"[['CYP2C9', '(PA126)']]",belongs to,
rs7900194,"[['warfarin', '(PA451906)']]",decreased dose of,
rs7900194,"[['CYP2C9', '(PA126)']]",belongs to,
rs9332131,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9332131,"[['CYP2C9', '(PA126)']]",belongs to,
rs339097,"[['warfarin', '(PA451906)']]",increased dose of,
rs339097,"[['CALU', '(PA26047)']]",belongs to,
rs339097,"[['warfarin', '(PA451906)']]",increased dose of,
rs339097,"[['CALU', '(PA26047)']]",belongs to,
rs339097,"[['warfarin', '(PA451906)']]",increased dose of,
rs339097,"[['CALU', '(PA26047)']]",belongs to,
rs2234922,"[['carbamazepine', '(PA448785)']]",decreased metabolism of,
rs2234922,"[['EPHX1', '(PA27829)']]",belongs to,
rs3812718,"[['carbamazepine', '(PA448785)']]",increased dose of,
rs3812718,"[['SCN1A', '(PA301)']]",belongs to,
rs3812718,"[['phenytoin', '(PA450947)']]",increased dose of,
rs3812718,"[['SCN1A', '(PA301)']]",belongs to,
rs1042714,"[['ADRB2', '(PA39)']]",belongs to,
rs5443,"[['sumatriptan', '(PA451566)']]",increased response to,
rs5443,"[['GNB3', '(PA176)']]",belongs to,
rs2297480,"[['Bisphosphonates', '(PA164712563)']]",decreased response to,
rs2297480,"[['FDPS', '(PA28075)'], ['PKLR', '(PA33352)']]",belongs to,
rs1799853,"[['warfarin', '(PA451906)']]",decreased dose of,
rs1799853,"[['CYP2C9', '(PA126)']]",belongs to,
rs4086116,"[['acenocoumarol', '(PA452632)']]",decreased dose of,
rs4086116,"[['CYP2C9', '(PA126)']]",belongs to,
rs7294,"[['warfarin', '(PA451906)']]",increased dose of,
rs7294,"[['VKORC1', '(PA133787052)']]",belongs to,
rs2108622,"[['warfarin', '(PA451906)']]",increased dose of,
rs2108622,"[['CYP4F2', '(PA27121)']]",belongs to,
rs12248560,"[['omeprazole', '(PA450704)']]",increased metabolism of,
rs12248560,"[['CYP2C19', '(PA124)']]",belongs to,
rs1800629,"[['adalimumab', '(PA10004)'], ['etanercept', '(PA449515)'], ['infliximab', '(PA452639)']]",decreased response to,
rs1800629,"[['TNF', '(PA435)']]",belongs to,
rs6280,"[['pramipexole', '(PA164742949)']]",increased response to,
rs6280,"[['DRD3', '(PA27479)']]",belongs to,
rs2661319,"[['risperidone', '(PA451257)']]",decreased response to,
rs2661319,"[['RGS4', '(PA34375)']]",belongs to,
rs1800497,"[['risperidone', '(PA451257)']]",increased response to,
rs1800497,"[['ANKK1', '(PA134872551)']]",belongs to,
rs2494732,"[['risperidone', '(PA451257)']]",increased response to,
rs2494732,"[['AKT1', '(PA24684)']]",belongs to,
rs3803300,"[['risperidone', '(PA451257)']]",increased response to,
rs3803300,"[['AKT1', '(PA24684)']]",belongs to,
rs165599,"[['risperidone', '(PA451257)']]",increased response to,
rs165599,"[['COMT', '(PA117)']]",belongs to,
rs724226,"[['risperidone', '(PA451257)']]",increased response to,
rs724226,"[['GRM3', '(PA28992)']]",belongs to,
rs10192566,"[['rosiglitazone', '(PA451283)']]",increased response to,
rs10192566,"[['LPIN1', '(PA30436)']]",belongs to,
rs1042713,"[['salmeterol', '(PA451300)']]",decreased response to,
rs1042713,"[['ADRB2', '(PA39)']]",belongs to,
rs2267715,"[['CRHR2', '(PA26875)']]",belongs to,
rs2267715,"[['salbutamol', '(PA448068)']]",decreased response to,
rs2267715,"[['CRHR2', '(PA26875)']]",belongs to,
rs2284220,"[['salbutamol', '(PA448068)']]",decreased response to,
rs2284220,"[['CRHR2', '(PA26875)']]",belongs to,
rs2284220,"[['CRHR2', '(PA26875)']]",belongs to,
rs255100,"[['salbutamol', '(PA448068)']]",decreased response to,
rs255100,"[['CRHR2', '(PA26875)']]",belongs to,
rs255100,"[['CRHR2', '(PA26875)']]",belongs to,
rs5443,"[['sildenafil', '(PA451346)']]",increased response to,
rs5443,"[['GNB3', '(PA176)']]",belongs to,
rs12255372,"[['sulfonamides,', 'urea', 'derivatives', '(PA10390)']]",decreased response to,
rs12255372,"[['TCF7L2', '(PA36394)']]",belongs to,
rs5219,"[['repaglinide', '(PA451234)']]",increased response to,
rs5219,"[['KCNJ11', '(PA217)']]",belongs to,
"CYP2C9*1, CYP2C9*2, CYP2C9*3","[['warfarin', '(PA451906)']]",decreased dose of,
"CYP2C9*1, CYP2C9*2, CYP2C9*3","[['CYP2C9', '(PA126)']]",belongs to,
rs1487278,"[['mirtazapine', '(PA450522)'], ['venlafaxine', '(PA451866)']]",increased response to,
rs1487278,"[['TPH2', '(PA128747823)']]",belongs to,
rs12422149,"[['montelukast', '(PA450546)']]",decreased response to,
rs12422149,"[['SLCO2B1', '(PA35845)']]",belongs to,
rs1799971,"[['morphine', '(PA450550)']]",increased dose of,
rs1799971,"[['OPRM1', '(PA31945)']]",belongs to,
rs4680,"[['morphine', '(PA450550)']]",increased dose of,
rs4680,"[['COMT', '(PA117)']]",belongs to,
rs1799971,"[['naltrexone', '(PA450588)']]",increased response to,
rs1799971,"[['OPRM1', '(PA31945)']]",belongs to,
rs28364006,"[['methotrexate', '(PA450428)']]",increased response to,
rs28364006,"[['ABCC1', '(PA244)']]",belongs to,
rs2238476,"[['methotrexate', '(PA450428)']]",increased response to,
rs2238476,"[['ABCC1', '(PA244)']]",belongs to,
rs35592,"[['methotrexate', '(PA450428)']]",increased response to,
rs35592,"[['ABCC1', '(PA244)']]",belongs to,
rs17731538,"[['methotrexate', '(PA450428)']]",increased response to,
rs17731538,"[['ABCG2', '(PA390)']]",belongs to,
rs13120400,"[['methotrexate', '(PA450428)']]",increased response to,
rs13120400,"[['ABCG2', '(PA390)']]",belongs to,
rs1801253,"[['metoprolol', '(PA450480)']]",increased response to,
rs1801253,"[['ADRB1', '(PA38)']]",belongs to,
rs2781659,"[['selective', 'beta-2-adrenoreceptor', 'agonists', '(PA134687887)']]",increased response to,
rs2781659,"[['ARG1', '(PA24947)']]",belongs to,
"CYP1A2*1A, CYP1A2*1C","[['CYP1A2', '(PA27093)']]",belongs to,
rs4987161,"[['nifedipine', '(PA450631)']]",decreased metabolism of,
rs4987161,"[['CYP3A', '(PA27114)'], ['CYP3A4', '(PA130)']]",belongs to,
rs11572080,"[['paclitaxel', '(PA450761)']]",decreased metabolism of,
rs11572080,"[['CYP2C8', '(PA125)']]",belongs to,
rs10509681,"[['paclitaxel', '(PA450761)']]",decreased metabolism of,
rs10509681,"[['CYP2C8', '(PA125)']]",belongs to,
rs1045642,"[['lansoprazole', '(PA450180)']]",increased metabolism of,
rs1045642,"[['ABCB1', '(PA267)']]",belongs to,
rs2740574,"[['indinavir', '(PA449977)']]",decreased metabolism of,
rs2740574,"[['CYP3A4', '(PA130)']]",belongs to,
rs6295,"[['fluvoxamine', '(PA449690)'], ['milnacipran', '(PA164752812)'], ['paroxetine', '(PA450801)']]",increased response to,
rs6295,"[['HTR1A', '(PA192)']]",belongs to,
rs10042486,"[['fluvoxamine', '(PA449690)'], ['milnacipran', '(PA164752812)'], ['paroxetine', '(PA450801)']]",increased response to,
rs10042486,"[['HTR1A', '(PA192)']]",belongs to,
rs909706,"[['haloperidol', '(PA449841)']]",increased response to,
rs909706,"[['DTNBP1', '(PA27512)']]",belongs to,
rs3775291,"[['Measles', 'vaccines', '(PA164712887)']]",decreased response to,
rs3775291,"[['TLR3', '(PA36551)']]",belongs to,
rs2842030,"[['olanzapine', '(PA450688)'], ['perphenazine', '(PA450882)']]",increased response to,
rs2842030,"[['RGS4', '(PA34375)']]",belongs to,
rs2842030,"[['risperidone', '(PA451257)']]",increased response to,
rs2842030,"[['RGS4', '(PA34375)']]",belongs to,
rs2284017,"[['lithium', '(PA450243)']]",increased response to,
rs2284017,"[['CACNG2', '(PA26016)']]",belongs to,
rs61750900,"[['nicotine', '(PA450626)']]",decreased metabolism of,
rs61750900,"[['UGT2B10', '(PA37186)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs9923231,"[['warfarin', '(PA451906)']]",decreased dose of,
rs9923231,"[['VKORC1', '(PA133787052)']]",belongs to,
rs10871454,"[['warfarin', '(PA451906)']]",decreased dose of,
rs10871454,"[['STX4', '(PA36236)']]",belongs to,
rs2359612,"[['warfarin', '(PA451906)']]",decreased dose of,
